caminho,status_previsto,confianca_status,probabilidades_status,subtipo_previsto,confianca_subtipo,subtipo_sem_filtro
C:\Users\Mauro\Downloads\FOTOS\FOTOS\1d02ef9b-6723-41c9-851e-26d802bfcc1c.jpeg,saudavel,0.9716,"{'saudavel': 0.9716, 'praga': 0.0001, 'doenca': 0.0283}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102847.jpg,praga,0.6511,"{'saudavel': 0.0505, 'praga': 0.6511, 'doenca': 0.2985}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102858.jpg,praga,0.6367,"{'saudavel': 0.0021, 'praga': 0.6367, 'doenca': 0.3612}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102909.jpg,doenca,0.9214,"{'saudavel': 0.014, 'praga': 0.0646, 'doenca': 0.9214}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102928.jpg,doenca,0.6505,"{'saudavel': 0.0059, 'praga': 0.3436, 'doenca': 0.6505}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102948.jpg,doenca,0.6204,"{'saudavel': 0.0011, 'praga': 0.3785, 'doenca': 0.6204}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103011.jpg,doenca,0.506,"{'saudavel': 0.063, 'praga': 0.431, 'doenca': 0.506}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103035.jpg,doenca,0.5077,"{'saudavel': 0.2281, 'praga': 0.2642, 'doenca': 0.5077}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103055.jpg,saudavel,0.6101,"{'saudavel': 0.6101, 'praga': 0.0048, 'doenca': 0.3851}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103104.jpg,doenca,0.7424,"{'saudavel': 0.131, 'praga': 0.1266, 'doenca': 0.7424}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103122.jpg,doenca,0.776,"{'saudavel': 0.0114, 'praga': 0.2126, 'doenca': 0.776}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103223.jpg,saudavel,0.8715,"{'saudavel': 0.8715, 'praga': 0.0019, 'doenca': 0.1266}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\2fc1ce60-f14d-4746-9ae2-4f339412fef7.jpeg,doenca,0.8749,"{'saudavel': 0.082, 'praga': 0.0431, 'doenca': 0.8749}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\47bf0fe8-02f0-4742-9d82-63727f91dc19.jpeg,saudavel,0.9135,"{'saudavel': 0.9135, 'praga': 0.0002, 'doenca': 0.0863}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4ea3e787-14ff-4b1a-b920-a934fd3f1168.jpeg,doenca,0.7866,"{'saudavel': 0.0366, 'praga': 0.1768, 'doenca': 0.7866}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4febd08d-d812-422b-aef9-c218ca120f69.jpeg,doenca,0.6551,"{'saudavel': 0.2152, 'praga': 0.1297, 'doenca': 0.6551}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\505e9ab4-aee0-4b2a-a91e-677856414482.jpeg,doenca,0.7749,"{'saudavel': 0.2078, 'praga': 0.0173, 'doenca': 0.7749}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\634ff639-19e4-4d33-bf14-eb2b2c3f79b6.jpeg,saudavel,0.9341,"{'saudavel': 0.9341, 'praga': 0.0015, 'doenca': 0.0644}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\86db37f9-f24b-49c7-81a8-f2fb15ba156d.jpeg,doenca,0.5436,"{'saudavel': 0.0874, 'praga': 0.369, 'doenca': 0.5436}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\88374a43-34de-4257-9192-1791aa6731b7.jpeg,saudavel,0.9535,"{'saudavel': 0.9535, 'praga': 0.0005, 'doenca': 0.046}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\905ae568-8ff3-44fc-9b19-0954ea7302cc.jpeg,doenca,0.6485,"{'saudavel': 0.0573, 'praga': 0.2942, 'doenca': 0.6485}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\9380be99-49b9-4afd-a68a-dc163cef5078.jpeg,doenca,0.4458,"{'saudavel': 0.3144, 'praga': 0.2397, 'doenca': 0.4458}",,,
