caminho,status_previsto,confianca_status,probabilidades_status,subtipo_previsto,confianca_subtipo,subtipo_sem_filtro
C:\Users\Mauro\Downloads\FOTOS\FOTOS\1d02ef9b-6723-41c9-851e-26d802bfcc1c.jpeg,saudavel,0.9784,"{'saudavel': 0.9784, 'praga': 0.0, 'doenca': 0.0216}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102847.jpg,doenca,0.8531,"{'saudavel': 0.1389, 'praga': 0.008, 'doenca': 0.8531}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102858.jpg,doenca,0.9906,"{'saudavel': 0.0085, 'praga': 0.0009, 'doenca': 0.9906}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102909.jpg,doenca,0.8011,"{'saudavel': 0.0118, 'praga': 0.1871, 'doenca': 0.8011}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102928.jpg,doenca,0.8686,"{'saudavel': 0.0864, 'praga': 0.045, 'doenca': 0.8686}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102948.jpg,doenca,0.8919,"{'saudavel': 0.0041, 'praga': 0.104, 'doenca': 0.8919}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103011.jpg,doenca,0.712,"{'saudavel': 0.2877, 'praga': 0.0004, 'doenca': 0.712}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103035.jpg,doenca,0.9032,"{'saudavel': 0.0959, 'praga': 0.0009, 'doenca': 0.9032}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103055.jpg,doenca,0.8764,"{'saudavel': 0.1236, 'praga': 0.0, 'doenca': 0.8764}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103104.jpg,doenca,0.9648,"{'saudavel': 0.0352, 'praga': 0.0, 'doenca': 0.9648}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103122.jpg,doenca,0.9999,"{'saudavel': 0.0, 'praga': 0.0, 'doenca': 0.9999}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103223.jpg,saudavel,0.6771,"{'saudavel': 0.6771, 'praga': 0.0, 'doenca': 0.3229}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\2fc1ce60-f14d-4746-9ae2-4f339412fef7.jpeg,doenca,0.8374,"{'saudavel': 0.14, 'praga': 0.0226, 'doenca': 0.8374}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\47bf0fe8-02f0-4742-9d82-63727f91dc19.jpeg,saudavel,0.8823,"{'saudavel': 0.8823, 'praga': 0.0, 'doenca': 0.1176}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4ea3e787-14ff-4b1a-b920-a934fd3f1168.jpeg,doenca,0.9593,"{'saudavel': 0.0398, 'praga': 0.0009, 'doenca': 0.9593}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4febd08d-d812-422b-aef9-c218ca120f69.jpeg,doenca,0.9634,"{'saudavel': 0.0321, 'praga': 0.0045, 'doenca': 0.9634}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\505e9ab4-aee0-4b2a-a91e-677856414482.jpeg,doenca,0.9904,"{'saudavel': 0.0094, 'praga': 0.0002, 'doenca': 0.9904}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\634ff639-19e4-4d33-bf14-eb2b2c3f79b6.jpeg,doenca,0.848,"{'saudavel': 0.1518, 'praga': 0.0002, 'doenca': 0.848}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\86db37f9-f24b-49c7-81a8-f2fb15ba156d.jpeg,doenca,0.9971,"{'saudavel': 0.0022, 'praga': 0.0007, 'doenca': 0.9971}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\88374a43-34de-4257-9192-1791aa6731b7.jpeg,doenca,0.706,"{'saudavel': 0.294, 'praga': 0.0, 'doenca': 0.706}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\905ae568-8ff3-44fc-9b19-0954ea7302cc.jpeg,doenca,0.9972,"{'saudavel': 0.0016, 'praga': 0.0012, 'doenca': 0.9972}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\9380be99-49b9-4afd-a68a-dc163cef5078.jpeg,doenca,0.8525,"{'saudavel': 0.1465, 'praga': 0.0011, 'doenca': 0.8525}",,,
