caminho,status_previsto,confianca_status,probabilidades_status,subtipo_previsto,confianca_subtipo,subtipo_sem_filtro
C:\Users\Mauro\Downloads\FOTOS\FOTOS\1d02ef9b-6723-41c9-851e-26d802bfcc1c.jpeg,saudavel,0.8231,"{'saudavel': 0.8231, 'praga': 0.0, 'doenca': 0.1769}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102847.jpg,doenca,0.6749,"{'saudavel': 0.0101, 'praga': 0.315, 'doenca': 0.6749}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102858.jpg,doenca,0.9754,"{'saudavel': 0.0004, 'praga': 0.0242, 'doenca': 0.9754}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102909.jpg,praga,0.8686,"{'saudavel': 0.0, 'praga': 0.8686, 'doenca': 0.1314}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102928.jpg,doenca,0.5398,"{'saudavel': 0.0176, 'praga': 0.4426, 'doenca': 0.5398}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_102948.jpg,doenca,0.9303,"{'saudavel': 0.0001, 'praga': 0.0696, 'doenca': 0.9303}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103011.jpg,doenca,0.7274,"{'saudavel': 0.2695, 'praga': 0.0031, 'doenca': 0.7274}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103035.jpg,doenca,0.7984,"{'saudavel': 0.0055, 'praga': 0.1961, 'doenca': 0.7984}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103055.jpg,doenca,0.9656,"{'saudavel': 0.034, 'praga': 0.0004, 'doenca': 0.9656}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103104.jpg,doenca,0.9561,"{'saudavel': 0.0438, 'praga': 0.0001, 'doenca': 0.9561}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103122.jpg,doenca,0.9999,"{'saudavel': 0.0, 'praga': 0.0001, 'doenca': 0.9999}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\20260704_103223.jpg,saudavel,0.5793,"{'saudavel': 0.5793, 'praga': 0.0001, 'doenca': 0.4206}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\2fc1ce60-f14d-4746-9ae2-4f339412fef7.jpeg,doenca,0.5661,"{'saudavel': 0.006, 'praga': 0.428, 'doenca': 0.5661}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\47bf0fe8-02f0-4742-9d82-63727f91dc19.jpeg,saudavel,0.9929,"{'saudavel': 0.9929, 'praga': 0.0, 'doenca': 0.0071}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4ea3e787-14ff-4b1a-b920-a934fd3f1168.jpeg,doenca,0.9038,"{'saudavel': 0.0252, 'praga': 0.071, 'doenca': 0.9038}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\4febd08d-d812-422b-aef9-c218ca120f69.jpeg,doenca,0.9397,"{'saudavel': 0.0049, 'praga': 0.0553, 'doenca': 0.9397}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\505e9ab4-aee0-4b2a-a91e-677856414482.jpeg,doenca,0.9589,"{'saudavel': 0.0391, 'praga': 0.002, 'doenca': 0.9589}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\634ff639-19e4-4d33-bf14-eb2b2c3f79b6.jpeg,doenca,0.962,"{'saudavel': 0.0323, 'praga': 0.0056, 'doenca': 0.962}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\86db37f9-f24b-49c7-81a8-f2fb15ba156d.jpeg,doenca,0.946,"{'saudavel': 0.003, 'praga': 0.051, 'doenca': 0.946}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\88374a43-34de-4257-9192-1791aa6731b7.jpeg,saudavel,0.5873,"{'saudavel': 0.5873, 'praga': 0.0003, 'doenca': 0.4124}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\905ae568-8ff3-44fc-9b19-0954ea7302cc.jpeg,praga,0.5158,"{'saudavel': 0.0008, 'praga': 0.5158, 'doenca': 0.4833}",,,
C:\Users\Mauro\Downloads\FOTOS\FOTOS\9380be99-49b9-4afd-a68a-dc163cef5078.jpeg,praga,0.9358,"{'saudavel': 0.0004, 'praga': 0.9358, 'doenca': 0.0638}",,,
